DocType: IOT Application Conf,All,
DocType: IOT Application Conf,App,
DocType: IOT Application Conf Version,App Conf Name,
DocType: IOT Application Conf Version,App Name,
DocType: IOT Application Conf,Application Configuration,
DocType: IOT Application Conf,Cloud Company Group,
DocType: IOT Application Conf Version,Comment,
DocType: IOT Application Conf Version,Conf,
DocType: IOT Application Conf,Conf Center,
DocType: IOT Application Conf,Configuration,
DocType: IOT Application Conf Version,Data,
DocType: IOT Application Conf,Description,
DocType: IOT Device Conf,Device,
apps/conf_center/conf_center/api.py +192,Device Conf Data not exits!,
apps/conf_center/conf_center/conf_center/doctype/iot_device_conf/iot_device_conf.py +18,Device not found!,
DocType: IOT Device Conf,Hashing,
DocType: IOT Application Conf,IOT Application Conf,
DocType: IOT Application Conf Version,IOT Application Conf Version,
DocType: IOT Device Conf,IOT Device Cloud Configuration Item,
DocType: IOT Device Conf,IOT Device Conf,
DocType: IOT Application Conf,IOT User,
apps/conf_center/conf_center/api.py +21,Incorrect HTTP Content-Type found {0},
DocType: IOT Application Conf Version,Information,
apps/conf_center/conf_center/api.py +24,JSON Data not found!,
DocType: IOT Application Conf,Name,
DocType: IOT Application Conf,Other,
DocType: IOT Application Conf,Owner Company,
DocType: IOT Application Conf,Owner ID,
DocType: IOT Application Conf,Owner Type,
DocType: IOT Application Conf,Public,
DocType: IOT Device Conf,Reference,
apps/conf_center/conf_center/api.py +18,Request Method Must be POST!,
DocType: IOT Application Conf,System Manager,
DocType: IOT Application Conf,Template,
DocType: IOT Device Conf,Timestamp,
DocType: IOT Application Conf,Type,
DocType: IOT Application Conf,Unique Name,
DocType: IOT Application Conf,User,
DocType: IOT Application Conf Version,Version,
apps/conf_center/conf_center/conf_center/doctype/iot_application_conf_version/iot_application_conf_version.py +22,Version must be bigger than {0},
apps/conf_center/conf_center/api.py +209,pong,
